7957,-4692,6512,-127
7967,-4706,6510,-154
7977,-4724,6478,-185
7987,-4590,6606,-206
7997,-4598,6664,-206
8007,-4578,6670,-187
8017,-4580,6654,-160
8026,-4562,6616,-145
8037,-4572,6664,-116
8047,-4520,6702,-96
8057,-4518,6722,-31
8067,-4560,6640,-15
8077,-4564,6596,39
8086,-4546,6578,61
8097,-4500,6556,116
8106,-4550,6592,155
8117,-4584,6600,190
8127,-4624,6578,194
8138,-4666,6466,187
8147,-4706,6494,150
8158,-4784,6466,104
8167,-4740,6596,84
8177,-4720,6510,37
8187,-4624,6706,9
8197,-4648,6550,-16
8206,-4688,6456,-42
8217,-4614,6564,-76
8227,-4694,6552,-93
8237,-4520,6882,-72
8247,-4680,6238,-149
8257,-4548,6554,-105
8267,-4630,6628,-96
8277,-4604,6584,-96
8287,-4538,6572,-95
8297,-4540,6664,-73
8307,-4670,6480,27
8317,-4550,6542,20
8327,-4612,6538,61
8337,-4578,6590,80
8347,-4558,6708,111
8356,-4578,6662,131
8367,-4652,6512,171
8377,-4680,6556,170
8387,-4670,6526,183
8397,-4692,6492,176
8407,-4700,6556,142
8417,-4676,6496,123
8427,-4668,6530,120
8437,-4682,6606,95
8447,-4652,6584,91
8457,-4654,6528,81
8468,-4642,6560,80
8478,-4634,6584,79
8488,-4704,6524,89
8497,-5018,6218,103
8507,-4688,6594,125
8516,-4696,6566,100
8527,-4738,6552,90
8537,-4710,6466,66
8547,-4662,6598,60
8557,-4674,6548,60
8567,-4648,6600,85
8577,-4666,6570,118
8587,-4724,6458,140
8597,-4738,6494,140
8607,-4680,6496,129
8617,-4642,6608,141
8627,-4704,6460,172
8637,-4680,6538,177
8647,-4796,6592,204
8657,-4740,6492,189
8667,-4698,6482,196
8677,-4742,6542,195
8687,-4740,6556,208
8696,-4796,6484,206
8707,-4834,6430,190
8717,-4860,6450,167
8727,-4792,6418,130
8736,-4768,6440,130
8747,-4738,6418,116
8757,-4802,6454,114
8767,-4820,6346,104
8777,-4812,6418,80
8788,-4842,6480,57
8798,-4804,6450,28
8808,-4822,6494,34
8818,-4796,6476,31
8827,-4798,6474,34
8838,-4840,6392,11
8848,-4800,6458,-5
8858,-4812,6408,-15
8868,-4838,6452,-16
8878,-4816,6450,-14
8888,-4768,6410,-13
8897,-4810,6394,3
8907,-4792,6430,27
8917,-4822,6466,43
8928,-4786,6478,50
8937,-4820,6418,66
8947,-4876,6362,55
8957,-4728,6410,61
8967,-4812,6532,69
8977,-4818,6442,76
8987,-4814,6426,70
8997,-4816,6454,73
9006,-4746,6488,73
9017,-4836,6392,84
9027,-4828,6464,86
9037,-4884,6368,80
9047,-4864,6376,68
9057,-4840,6364,52
9067,-4810,6444,29
9077,-4858,6418,23
9087,-4834,6406,20
9097,-4828,6280,3
9107,-4768,6714,-6
9117,-4848,6398,-11
9127,-4812,6438,1
9137,-4790,6448,8
9147,-4848,6454,10
9157,-4862,6438,29
9167,-4922,6410,17
9177,-4850,6416,-3
9187,-4822,6516,-11
9197,-4838,6362,0
9207,-4834,6454,-15
9216,-4844,6410,-7
9227,-4886,6402,-7
9236,-4842,6348,-29
9246,-4840,6456,-37
9256,-4856,6408,-49
9267,-4840,6466,-52
9277,-4850,6432,-48
9286,-4818,6460,-59
9296,-4778,6396,-88
9307,-4786,6410,-76
9317,-4830,6448,-80
9326,-4764,6512,-81
9336,-4790,6446,-57
9347,-4770,6466,-33
9357,-4768,6452,-25
9367,-4798,6476,-14
9376,-4830,6458,-12
9387,-4782,6406,-23
